Block,Floor,Room Number,Room Name
CIVIL (VISVESVARAYA),Basement,,Fluid Mechanics Lab
CIVIL (VISVESVARAYA),Basement,CE Lab-5,
CIVIL (VISVESVARAYA),Basement,,Geotechnical Engineering Lab
CIVIL (VISVESVARAYA),Basement,,Transportation Engineering Lab
CIVIL (VISVESVARAYA),Basement,,Structural Analytics Lab
CIVIL (VISVESVARAYA),Ground,CE LAB-I,Geomatic Engineering Lab
CIVIL (VISVESVARAYA),Ground,CE Lab-3,
CIVIL (VISVESVARAYA),Ground,CE Lab-2,Computer Aided Design Lab
CIVIL (VISVESVARAYA),Ground,,Staff Room
CIVIL (VISVESVARAYA),First,TR-8,
CIVIL (VISVESVARAYA),First,TR-9,
CIVIL (VISVESVARAYA),First,CR-20,
CIVIL (VISVESVARAYA),First,CR-21,
CIVIL (VISVESVARAYA),Second,,GIS and Data Analysis Lab
CIVIL (VISVESVARAYA),Second,CR-22,
CIVIL (VISVESVARAYA),Second,CR-23,
CIVIL (VISVESVARAYA),Second,CR-24,
CIVIL (VISVESVARAYA),Second,CR-25,
