Block,Floor,Room Number,Room Name
KP NAUTIYAL (College of Law),Basement,,OBC
KP NAUTIYAL (College of Law),Ground,,Faculty Room
KP NAUTIYAL (College of Law),Ground,,Moot Court
KP NAUTIYAL (College of Law),Ground,,Office
KP NAUTIYAL (College of Law),First,CR-1,
KP NAUTIYAL (College of Law),First,CR-2,
KP NAUTIYAL (College of Law),First,CR-3,
KP NAUTIYAL (College of Law),First,CR-4,
KP NAUTIYAL (College of Law),Second,CR-5,
KP NAUTIYAL (College of Law),Second,CR-6,
KP NAUTIYAL (College of Law),Second,CR-7,
KP NAUTIYAL (College of Law),Second,CR-8,
