Block,Floor,Room Number,Room Name
Mechanical (Vishwakarma),Ground,ME Lab 1,
Mechanical (Vishwakarma),Ground,ME Lab 2,
Mechanical (Vishwakarma),Ground,,Fluid Mechanics Lab
Mechanical (Vishwakarma),Ground,ME Lab 15,CAM Lab
Mechanical (Vishwakarma),First,ME Lab 3,CAD Lab
Mechanical (Vishwakarma),First,,Faculty Room-I
Mechanical (Vishwakarma),First,,Technology Centre with Visualization
Mechanical (Vishwakarma),Second,ME Lab 6,
Mechanical (Vishwakarma),Second,ME Lab 5,
Mechanical (Vishwakarma),Second,ME Lab 7,Foundry Shop
Mechanical (Vishwakarma),Second,ME Lab 8,Dynamics and Machine Lab
